;time;id;x;y;angle;type;speed;pos;lane;slope
274314;7,220069444444444;dv_7_27;5189,46;3971,12;308,03;delivery_7;48,96;0,45293;816623833#4_0;0,0
274326;7,220138888888889;dv_7_27;5186,8;3973,28;308,82;delivery_7;49,464;0,4495;816623833#4_0;0,0
274338;7,220208333333333;dv_7_27;5184,14;3975,44;309,15;delivery_7;49,392;0,44606999999999997;816623833#4_0;0,0
274350;7,220277777777778;dv_7_27;5181,51;3977,59;309,15;delivery_7;48,996;0,44267;816623833#4_0;0,0
274362;7,220347222222222;dv_7_27;5178,85;3979,75;309,15;delivery_7;49,356;0,43923999999999996;816623833#4_0;0,0
274374;7,220416666666667;dv_7_27;5176,21;3981,9;309,15;delivery_7;49,068000000000005;0,43583;816623833#4_0;0,0
274386;7,220486111111111;dv_7_27;5173,6;3984,03;309,15;delivery_7;48,672;0,43245;816623833#4_0;0,0
274398;7,220555555555555;dv_7_27;5170,92;3986,21;309,15;delivery_7;49,68000000000001;0,429;816623833#4_0;0,0
274410;7,220625;dv_7_27;5168,3;3988,34;309,15;delivery_7;48,78;0,42562;816623833#4_0;0,0
274422;7,220694444444445;dv_7_27;5165,63;3990,52;309,15;delivery_7;49,68000000000001;0,42217;816623833#4_0;0,0
274434;7,2207638888888885;dv_7_27;5163,01;3992,65;309,15;delivery_7;48,708;0,41878;816623833#4_0;0,0
274446;7,220833333333333;dv_7_27;5160,6;3995,1;312,5;delivery_7;49,644;0,41534;816623833#4_0;0,0
274459;7,220902777777778;dv_7_27;5158,23;3997,58;316,28;delivery_7;49,428000000000004;0,4119;816623833#4_0;0,0
274472;7,220972222222223;dv_7_27;5155,85;4000,07;316,32;delivery_7;49,644;0,40845;816623833#4_0;0,0
274485;7,221041666666666;dv_7_27;5153,52;4002,51;316,32;delivery_7;48,636;0,40508;816623833#4_0;0,0
274498;7,221111111111111;dv_7_27;5151,14;4005,0;316,32;delivery_7;49,572;0,40163;816623833#4_0;0,0
274511;7,221180555555556;dv_7_27;5148,78;4007,47;316,32;delivery_7;49,356;0,39821;816623833#4_0;0,0
274524;7,22125;dv_7_27;5146,45;4009,91;316,32;delivery_7;48,636;0,39483;816623833#4_0;0,0
274537;7,221319444444444;dv_7_27;5144,11;4012,36;316,32;delivery_7;48,852000000000004;0,39144;816623833#4_0;0,0
274551;7,221388888888889;dv_7_27;5141,74;4014,84;316,32;delivery_7;49,428000000000004;0,388;816623833#4_0;0,0
274565;7,2214583333333335;dv_7_27;5139,37;4017,33;316,32;delivery_7;49,572;0,38456;816623833#4_0;0,0
274579;7,221527777777778;dv_7_27;5137,0;4019,8;316,32;delivery_7;49,356;0,38112999999999997;816623833#4_0;0,0
274593;7,221597222222222;dv_7_27;5134,64;4022,27;316,32;delivery_7;49,248;0,37771;816623833#4_0;0,0
274607;7,221666666666667;dv_7_27;5132,3;4024,73;316,32;delivery_7;48,996;0,37431;816623833#4_0;0,0
274620;7,221736111111111;dv_7_27;5129,92;4027,22;316,32;delivery_7;49,644;0,37085999999999997;816623833#4_0;0,0
274632;7,221805555555555;dv_7_27;5127,58;4029,67;316,32;delivery_7;48,744;0,36748;816623833#4_0;0,0
274644;7,221875;dv_7_27;5125,25;4032,11;316,32;delivery_7;48,672;0,3641;816623833#4_0;0,0
274656;7,2219444444444445;dv_7_27;5122,91;4034,56;316,32;delivery_7;48,852000000000004;0,36071;816623833#4_0;0,0
274668;7,222013888888889;dv_7_27;5120,58;4037,0;316,32;delivery_7;48,636;0,35733;816623833#4_0;0,0
274680;7,222083333333333;dv_7_27;5118,22;4039,47;316,32;delivery_7;49,32;0,35391;816623833#4_0;0,0
274692;7,222152777777778;dv_7_27;5115,84;4041,96;316,32;delivery_7;49,644;0,35046;816623833#4_0;0,0
274704;7,222222222222222;dv_7_27;5113,51;4044,41;316,32;delivery_7;48,816;0,34707;816623833#4_0;0,0
274716;7,222291666666667;dv_7_27;5111,17;4046,85;316,32;delivery_7;48,672;0,34369;816623833#4_0;0,0
274728;7,222361111111111;dv_7_27;5108,82;4049,32;316,32;delivery_7;49,176;0,34026999999999996;816623833#4_0;0,0
274739;7,2224305555555555;dv_7_27;5106,48;4051,76;316,32;delivery_7;48,708;0,33689;816623833#4_0;0,0
274750;7,2225;dv_7_27;5104,15;4054,2;316,32;delivery_7;48,708;0,33351;816623833#4_0;0,0
274761;7,222569444444445;dv_7_27;5101,78;4056,68;316,32;delivery_7;49,428000000000004;0,33008;816623833#4_0;0,0
274772;7,222638888888889;dv_7_27;5099,42;4059,15;316,32;delivery_7;49,32;0,32665;816623833#4_0;0,0
274784;7,222708333333333;dv_7_27;5097,07;4061,62;316,32;delivery_7;49,068000000000005;0,32323999999999997;816623833#4_0;0,0
274796;7,222777777777778;dv_7_27;5094,7;4064,1;316,32;delivery_7;49,428000000000004;0,31981;816623833#4_0;0,0
274808;7,222847222222223;dv_7_27;5092,35;4066,56;316,32;delivery_7;49,14;0,3164;816623833#4_0;0,0
274820;7,222916666666666;dv_7_27;5090,01;4069,01;316,32;delivery_7;48,78;0,31301;816623833#4_0;0,0
274832;7,222986111111111;dv_7_27;5087,68;4071,44;316,32;delivery_7;48,528000000000006;0,30964;816623833#4_0;0,0
274844;7,223055555555556;dv_7_27;5085,33;4073,9;316,32;delivery_7;49,068000000000005;0,30623;816623833#4_0;0,0
274856;7,223125;dv_7_27;5082,98;4076,4;316,52;delivery_7;49,464;0,30279;816623833#4_0;0,0
274868;7,223194444444444;dv_7_27;5080,66;4078,87;316,79;delivery_7;48,888;0,2994;816623833#4_0;0,0
274880;7,223263888888889;dv_7_27;5078,35;4081,34;316,84;delivery_7;48,708;0,29602;816623833#4_0;0,0
274892;7,223333333333334;dv_7_27;5076,0;4083,85;316,84;delivery_7;49,644;0,29257;816623833#4_0;0,0
274904;7,223402777777777;dv_7_27;5073,66;4086,34;316,84;delivery_7;49,284;0,28915;816623833#4_0;0,0
274916;7,223472222222222;dv_7_27;5071,33;4088,83;316,84;delivery_7;49,104000000000006;0,28574;816623833#4_0;0,0
274928;7,223541666666667;dv_7_27;5069,02;4091,29;316,84;delivery_7;48,672;0,28236;816623833#4_0;0,0
274940;7,223611111111111;dv_7_27;5066,67;4093,8;316,84;delivery_7;49,644;0,27891;816623833#4_0;0,0
274952;7,223680555555555;dv_7_27;5064,32;4096,31;316,84;delivery_7;49,5;0,27547;816623833#4_0;0,0
274964;7,22375;dv_7_27;5061,97;4098,81;316,84;delivery_7;49,572;0,27203;816623833#4_0;0,0
274976;7,223819444444445;dv_7_27;5059,63;4101,3;316,84;delivery_7;49,212;0,26861;816623833#4_0;0,0
274988;7,223888888888889;dv_7_27;5057,28;4103,82;316,84;delivery_7;49,644;0,26516999999999996;816623833#4_0;0,0
275000;7,223958333333333;dv_7_27;5054,96;4106,29;316,84;delivery_7;48,852000000000004;0,26177;816623833#4_0;0,0
275012;7,224027777777778;dv_7_27;5052,65;4108,75;316,84;delivery_7;48,744;0,25839;816623833#4_0;0,0
275024;7,224097222222222;dv_7_27;5050,29;4111,27;316,84;delivery_7;49,68000000000001;0,25493999999999994;816623833#4_0;0,0
275036;7,224166666666667;dv_7_27;5047,98;4113,73;316,84;delivery_7;48,708;0,25156;816623833#4_0;0,0
275048;7,224236111111111;dv_7_27;5045,65;4116,21;316,84;delivery_7;49,032;0,24814999999999998;816623833#4_0;0,0
275060;7,2243055555555555;dv_7_27;5043,3;4118,72;316,84;delivery_7;49,572;0,24470999999999998;816623833#4_0;0,0
275072;7,224375;dv_7_27;5040,97;4121,2;316,84;delivery_7;49,068000000000005;0,2413;816623833#4_0;0,0
275084;7,224444444444444;dv_7_27;5038,65;4123,69;316,84;delivery_7;49,104000000000006;0,23789;816623833#4_0;0,0
275096;7,224513888888889;dv_7_27;5036,29;4126,2;316,84;delivery_7;49,644;0,23443999999999998;816623833#4_0;0,0
275108;7,224583333333333;dv_7_27;5033,94;4128,7;316,84;delivery_7;49,464;0,23100999999999997;816623833#4_0;0,0
275120;7,224652777777778;dv_7_27;5031,61;4131,19;316,84;delivery_7;49,104000000000006;0,22759999999999997;816623833#4_0;0,0
275132;7,224722222222222;dv_7_27;5029,3;4133,65;316,84;delivery_7;48,744;0,22421;816623833#4_0;0,0
275144;7,2247916666666665;dv_7_27;5026,96;4136,15;316,84;delivery_7;49,392;0,22077999999999998;816623833#4_0;0,0
275156;7,224861111111111;dv_7_27;5024,6;4138,67;316,84;delivery_7;49,68000000000001;0,21733;816623833#4_0;0,0
275168;7,224930555555556;dv_7_27;5022,25;4141,17;316,84;delivery_7;49,5;0,2139;816623833#4_0;0,0
275180;7,225;dv_7_27;5019,94;4143,64;316,84;delivery_7;48,78;0,21050999999999997;816623833#4_0;0,0
275192;7,225069444444444;dv_7_27;5017,61;4146,12;316,84;delivery_7;49,032;0,20709999999999998;816623833#4_0;0,0
275204;7,225138888888889;dv_7_27;5015,26;4148,63;316,84;delivery_7;49,608;0,20365999999999998;816623833#4_0;0,0
275216;7,225208333333334;dv_7_27;5012,91;4151,14;316,86;delivery_7;49,608;0,20021;816623833#4_0;0,0
275228;7,2252777777777775;dv_7_27;5010,62;4153,65;317,24;delivery_7;48,96;0,19680999999999998;816623833#4_0;0,0
275240;7,225347222222222;dv_7_27;5008,31;4156,17;317,58;delivery_7;49,32;0,19339;816623833#4_0;0,0
275252;7,225416666666667;dv_7_27;5005,99;4158,71;317,58;delivery_7;49,608;0,18994;816623833#4_0;0,0
275264;7,2254861111111115;dv_7_27;5003,71;4161,21;317,58;delivery_7;48,744;0,18655999999999995;816623833#4_0;0,0
275276;7,225555555555555;dv_7_27;5001,39;4163,74;317,58;delivery_7;49,572;0,18311999999999995;816623833#4_0;0,0
275288;7,225625;dv_7_27;4999,08;4166,27;317,58;delivery_7;49,356;0,17969000000000002;816623833#4_0;0,0
275300;7,225694444444445;dv_7_27;4996,78;4168,79;317,58;delivery_7;49,176;0,17626999999999998;816623833#4_0;0,0
275312;7,225763888888889;dv_7_27;4994,5;4171,29;317,58;delivery_7;48,816;0,17288000000000003;816623833#4_0;0,0
275324;7,225833333333333;dv_7_27;4992,19;4173,81;317,58;delivery_7;49,32;0,16946;816623833#4_0;0,0
275336;7,225902777777778;dv_7_27;4989,87;4176,35;317,58;delivery_7;49,572;0,16602;816623833#4_0;0,0
275348;7,2259722222222225;dv_7_27;4987,59;4178,84;317,58;delivery_7;48,708;0,16264;816623833#4_0;0,0
275360;7,226041666666666;dv_7_27;4985,27;4181,38;317,58;delivery_7;49,5;0,1592;816623833#4_0;0,0
275372;7,226111111111111;dv_7_27;4983,04;4183,94;318,22;delivery_7;49,032;0,15578999999999998;816623833#4_0;0,0
275384;7,226180555555556;dv_7_27;4980,8;4186,53;319,1;delivery_7;49,356;0,15236999999999995;816623833#4_0;0,0
275396;7,22625;dv_7_27;4978,59;4189,09;319,25;delivery_7;48,816;0,14898;816623833#4_0;0,0
275408;7,226319444444444;dv_7_27;4976,39;4191,65;319,25;delivery_7;48,6;0,1456;816623833#4_0;0,0
275420;7,226388888888889;dv_7_27;4974,16;4194,23;319,25;delivery_7;49,212;0,14217999999999997;816623833#4_0;0,0
275432;7,226458333333333;dv_7_27;4971,93;4196,83;319,25;delivery_7;49,32;0,13876;816623833#4_0;0,0
275444;7,226527777777778;dv_7_27;4969,86;4199,52;320,96;delivery_7;49,14;0,13534999999999997;816623833#4_0;0,0
275456;7,226597222222222;dv_7_27;4967,95;4202,32;324,33;delivery_7;48,78;0,13196000000000002;816623833#4_0;0,0
275468;7,226666666666667;dv_7_27;4966,01;4205,17;325,7;delivery_7;49,68000000000001;0,12851;816623833#4_0;0,0
275480;7,226736111111111;dv_7_27;4964,1;4207,97;325,7;delivery_7;48,888;0,12511999999999995;816623833#4_0;0,0
275492;7,226805555555556;dv_7_27;4962,19;4210,77;325,7;delivery_7;48,96;0,12172;816623833#4_0;0,0
275504;7,226875;dv_7_27;4960,27;4213,59;325,7;delivery_7;49,176;0,11829999999999996;816623833#4_0;0,0
275516;7,226944444444444;dv_7_27;4958,36;4216,39;325,7;delivery_7;48,816;0,11490999999999996;816623833#4_0;0,0
275528;7,227013888888889;dv_7_27;4956,44;4219,19;325,7;delivery_7;49,032;0,11151;816623833#4_0;0,0
275540;7,227083333333334;dv_7_27;4954,51;4222,03;325,7;delivery_7;49,5;0,10807;816623833#4_0;0,0
275552;7,2271527777777775;dv_7_27;4952,58;4224,86;325,7;delivery_7;49,392;0,10464000000000001;816623833#4_0;0,0
275564;7,227222222222222;dv_7_27;4950,66;4227,67;325,7;delivery_7;48,996;0,10123999999999994;816623833#4_0;0,0
275576;7,227291666666667;dv_7_27;4948,75;4230,47;325,7;delivery_7;48,96;0,09783999999999998;816623833#4_0;0,0
275588;7,227361111111111;dv_7_27;4947,0;4233,35;327,29;delivery_7;48,6;0,09445999999999999;816623833#4_0;0,0
275600;7,227430555555555;dv_7_27;4945,27;4236,26;329,14;delivery_7;48,816;0,09106999999999998;816623833#4_0;0,0
275612;7,2275;dv_7_27;4943,52;4239,22;329,26;delivery_7;49,536;0,08762999999999999;816623833#4_0;0,0
275624;7,227569444444445;dv_7_27;4941,78;4242,14;329,26;delivery_7;49,068000000000005;0,08422999999999997;816623833#4_0;0,0
275636;7,2276388888888885;dv_7_27;4940,04;4245,07;329,26;delivery_7;49,068000000000005;0,08082;816623833#4_0;0,0
275648;7,227708333333333;dv_7_27;4938,29;4248,0;329,26;delivery_7;49,284;0,07739999999999997;816623833#4_0;0,0
275660;7,227777777777778;dv_7_27;4936,55;4250,93;329,26;delivery_7;49,032;0,07398999999999994;816623833#4_0;0,0
275672;7,2278472222222225;dv_7_27;4934,82;4253,83;329,26;delivery_7;48,744;0,07060999999999995;816623833#4_0;0,0
275684;7,227916666666666;dv_7_27;4933,06;4256,79;329,26;delivery_7;49,608;0,06716;816623833#4_0;0,0
275696;7,227986111111111;dv_7_27;4931,33;4259,71;329,26;delivery_7;49,068000000000005;0,06375999999999998;816623833#4_0;0,0
275708;7,228055555555556;dv_7_27;4929,59;4262,62;329,26;delivery_7;48,852000000000004;0,06035999999999997;816623833#4_0;0,0
275720;7,228125;dv_7_27;4927,84;4265,58;329,26;delivery_7;49,536;0,05691999999999997;816623833#4_0;0,0
275732;7,228194444444444;dv_7_27;4926,09;4268,51;329,26;delivery_7;49,248;0,05351;816623833#4_0;0,0
275744;7,228263888888889;dv_7_27;4924,37;4271,46;329,54;delivery_7;49,212;0,05008999999999997;816623833#4_0;0,0
275756;7,2283333333333335;dv_7_27;4922,71;4274,34;329,86;delivery_7;47,916000000000004;0,046760000000000024;816623833#4_0;0,0
275768;7,228402777777778;dv_7_27;4921,13;4277,05;329,88;delivery_7;45,288000000000004;0,04361999999999994;816623833#4_0;0,0
275780;7,228472222222222;dv_7_27;4919,66;4279,58;329,88;delivery_7;42,12;0,040690000000000004;816623833#4_0;0,0
275792;7,228541666666667;dv_7_27;4918,33;4281,87;329,88;delivery_7;38,268;0,03803000000000001;816623833#4_0;0,0
275804;7,228611111111111;dv_7_27;4917,07;4284,05;329,88;delivery_7;36,252;0,035519999999999996;816623833#4_0;0,0
275816;7,228680555555556;dv_7_27;4915,93;4286,01;329,88;delivery_7;32,76;0,03323999999999999;816623833#4_0;0,0
275828;7,22875;dv_7_27;4914,88;4287,82;329,88;delivery_7;30,131999999999998;0,03115000000000001;816623833#4_0;0,0
275840;7,2288194444444445;dv_7_27;4913,92;4289,48;329,88;delivery_7;27,576;0,029229999999999978;816623833#4_0;0,0
275852;7,228888888888889;dv_7_27;4913,04;4291,0;329,88;delivery_7;25,452;0,027469999999999994;816623833#4_0;0,0
275864;7,228958333333333;dv_7_27;4912,22;4292,41;329,88;delivery_7;23,471999999999998;0,025839999999999974;816623833#4_0;0,0
275875;7,229027777777778;dv_7_27;4911,45;4293,74;329,88;delivery_7;22,248;0,02428999999999998;816623833#4_0;0,0
275886;7,229097222222222;dv_7_27;4910,75;4294,94;329,88;delivery_7;19,836;0,022909999999999986;816623833#4_0;0,0
275897;7,229166666666667;dv_7_27;4910,11;4296,05;329,88;delivery_7;18,648;0,021619999999999973;816623833#4_0;0,0
275908;7,229236111111111;dv_7_27;4909,53;4297,05;329,88;delivery_7;16,632;0,020469999999999988;816623833#4_0;0,0
275919;7,229305555555555;dv_7_27;4908,96;4298,03;329,88;delivery_7;16,272;0,01933999999999997;816623833#4_0;0,0
275930;7,229375;dv_7_27;4908,44;4298,92;329,88;delivery_7;14,868;0,018299999999999983;816623833#4_0;0,0
275941;7,229444444444445;dv_7_27;4907,94;4299,79;329,88;delivery_7;14,472;0,017299999999999982;816623833#4_0;0,0
275952;7,229513888888889;dv_7_27;4907,44;4300,65;329,88;delivery_7;14,4;0,01629999999999998;816623833#4_0;0,0
275963;7,229583333333333;dv_7_27;4906,95;4301,5;329,88;delivery_7;14,076;0,01532;816623833#4_0;0,0
275974;7,229652777777778;dv_7_27;4906,48;4302,31;329,88;delivery_7;13,607999999999999;0,014380000000000004;816623833#4_0;0,0
275985;7,229722222222223;dv_7_27;4906,0;4303,13;329,88;delivery_7;13,716000000000001;0,013419999999999987;816623833#4_0;0,0
275995;7,229791666666666;dv_7_27;4905,53;4303,94;329,88;delivery_7;13,428;0,012489999999999946;816623833#4_0;0,0
276005;7,229861111111111;dv_7_27;4905,03;4304,81;329,88;delivery_7;14,472;0,011489999999999945;816623833#4_0;0,0
276014;7,229930555555556;dv_7_27;4904,52;4305,68;329,88;delivery_7;14,58;0,01046999999999998;816623833#4_0;0,0
276023;7,23;dv_7_27;4904,02;4306,54;329,88;delivery_7;14,364;0,009479999999999988;816623833#4_0;0,0
276032;7,230069444444444;dv_7_27;4903,49;4307,45;329,88;delivery_7;15,120000000000001;0,008429999999999993;816623833#4_0;0,0
276041;7,230138888888889;dv_7_27;4902,98;4308,34;329,88;delivery_7;14,832;0,007400000000000018;816623833#4_0;0,0
276050;7,230208333333334;dv_7_27;4902,46;4309,23;329,88;delivery_7;14,868;0,006359999999999977;816623833#4_0;0,0
276059;7,230277777777777;dv_7_27;4901,96;4310,09;329,88;delivery_7;14,364;0,005369999999999986;816623833#4_0;0,0
276068;7,230347222222222;dv_7_27;4901,44;4310,99;329,88;delivery_7;14,868;0,0043300000000000005;816623833#4_0;0,0
276077;7,230416666666667;dv_7_27;4900,89;4311,93;329,88;delivery_7;15,803999999999998;0,003239999999999965;816623833#4_0;0,0
276086;7,230486111111111;dv_7_27;4900,36;4312,85;329,88;delivery_7;15,371999999999998;0,0021699999999999497;816623833#4_0;0,0
276095;7,230555555555555;dv_7_27;4899,79;4313,83;329,88;delivery_7;16,236;0,0010399999999999854;816623833#4_0;0,0
